#
# Run File created 12/08/2015 5:03:01 PM
#

#
# 
#

# Ch1_Incident WP                     Moving          14.671(x - zero)
# Ch2_Phase WP                        Moving          17.273(x - zero)
# Ch3_OWC WP                          Moving          22.575(x - zero)
# Ch4_OWC Pressure                    Moving          41.623(x - zero)

TITLE="Calibration"
VARIABLES="Time" "Ch1_Incident WP" "Ch2_Phase WP" "Ch3_OWC WP" "Ch4_OWC Pressure" 
ZONE T="Calibration" F=POINT 
0.000000 -0.201395 -0.185819 -0.129875 -0.086480 
1.000000 14.670759 17.272866 22.574672 41.623146 

TITLE="Data"
VARIABLES="Time" "Ch1_Incident WP" "Ch2_Phase WP" "Ch3_OWC WP" "Ch4_OWC Pressure" 
ZONE T="Data" F=POINT 
1.650000 -0.188082 -0.183248 -0.129747 -0.079791 
1.655000 -0.189049 -0.184859 -0.130392 -0.097840 
1.660000 -0.190661 -0.189694 -0.130392 -0.086882 
1.665000 -0.188405 -0.182926 -0.129747 -0.074634 
1.670000 -0.188727 -0.185504 -0.130069 -0.091716 
1.675000 -0.190338 -0.184859 -0.131358 -0.092683 
1.680000 -0.192595 -0.187760 -0.134259 -0.082692 
1.685000 -0.189694 -0.185826 -0.131358 -0.086882 
1.690000 -0.190338 -0.186793 -0.130069 -0.080113 
1.695000 -0.188082 -0.184215 -0.130714 -0.091394 
1.700000 -0.192595 -0.189049 -0.132648 -0.090427 
1.705000 -0.190016 -0.185826 -0.130392 -0.085915 
1.710000 -0.189372 -0.186793 -0.129425 -0.080436 
1.715000 -0.189372 -0.185182 -0.130392 -0.075601 
1.720000 -0.192595 -0.188082 -0.132003 -0.103963 
1.725000 -0.186471 -0.184859 -0.129425 -0.084303 
1.730000 -0.190016 -0.185504 -0.129102 -0.073345 
1.735000 -0.189049 -0.182926 -0.130714 -0.079147 
1.740000 -0.188405 -0.187116 -0.129747 -0.089460 
1.745000 -0.186471 -0.186149 -0.130069 -0.088171 
1.750000 -0.186471 -0.184537 -0.128458 -0.088171 
1.755000 -0.186793 -0.186793 -0.130714 -0.087204 
1.760000 -0.186793 -0.185826 -0.129425 -0.083014 
1.765000 -0.187116 -0.189372 -0.133614 -0.083336 
1.770000 -0.181636 -0.188082 -0.130069 -0.085915 
1.775000 -0.186149 -0.189372 -0.132648 -0.090749 
1.780000 -0.187116 -0.189372 -0.131036 -0.080436 
1.785000 -0.187760 -0.190661 -0.133292 -0.080758 
1.790000 -0.184215 -0.189049 -0.128780 -0.077213 
1.795000 -0.189372 -0.190983 -0.132003 -0.086237 
1.800000 -0.188082 -0.190661 -0.129425 -0.088815 
1.805000 -0.188727 -0.191950 -0.130714 -0.095584 
1.810000 -0.187438 -0.188727 -0.127491 -0.083014 
1.815000 -0.188727 -0.191305 -0.129102 -0.090105 
1.820000 -0.189372 -0.190016 -0.131681 -0.093005 
1.825000 -0.188082 -0.190338 -0.128780 -0.093005 
1.830000 -0.188405 -0.188727 -0.129425 -0.092361 
1.835000 -0.185826 -0.189372 -0.130069 -0.082047 
1.840000 -0.188727 -0.191305 -0.131036 -0.097195 
1.845000 -0.186149 -0.189694 -0.129747 -0.088171 
1.850000 -0.185504 -0.190661 -0.131358 -0.094617 
1.855000 -0.184537 -0.190661 -0.128135 -0.075601 
1.860000 -0.186471 -0.194206 -0.131681 -0.086237 
1.865000 -0.185504 -0.191628 -0.130069 -0.082370 
1.870000 -0.185504 -0.192272 -0.129425 -0.090105 
1.875000 -0.187116 -0.190983 -0.130392 -0.088815 
1.880000 -0.189694 -0.192595 -0.133292 -0.085270 
1.885000 -0.188727 -0.193239 -0.131036 -0.081725 
